"ff" "t" "td" "hu" "precip" "ws_arome" "t2m_arome" "d2m_arome" "r_arome" "tp_arome" "msl_arome" "season" "month" "wind_dir"
"1" 3.945 289.40875 285.277083333333 78.7833333333333 0 3.6637846375 289.232314583333 285.170885416667 79.0377845833333 2.32827685576 101672.85 "spring" "Jun" 4
"2" 3.73958333333333 276.375833333333 273.4225 81.7 1.2 3.328476 275.808687916667 273.67259125 86.3315979583333 10.675440718 100583.76 "winter" "Mar" 4
"3" 3.27375 288.869166666667 286.723333333333 87.6208333333333 0.2 3.23237952083333 289.627425 286.48512625 82.3010309583333 4.582309222 101482.984 "summer" "Jul" 4
"4" 1.745 284.28875 280.215833333333 76.5875 0 1.72092555916667 284.726139166667 280.36734 75.3841162916667 0.940253691 102223.586 "spring" "May" 3
"5" 5.71875 277.527916666667 274.529166666667 81.3916666666667 1.6 4.42401225416667 277.75169875 274.590655833333 80.4350854583333 13.9030762172 102416.22 "winter" "Feb" 4
"6" 1.75 277.353333333333 275.139583333333 86.2041666666667 0.2 1.78096476458333 275.294082083333 273.090981666667 85.258692125 0.205983338 103463.945 "winter" "Dec" 3
"8" 7.84125 277.501666666667 274.804583333333 82.6916666666667 0 6.04186799166667 278.089415833333 275.305084583333 82.4240149583333 0.0306383584 101994.06 "spring" "Mar" 2
"9" 3.25875 284.9925 282.014166666667 82.9666666666667 6.2 3.19474225833333 285.514981666667 282.21354125 81.9132312916667 25.90317883 101781.63 "spring" "Jun" 4
"10" 4.65041666666667 276.63 276.2725 97.4375 8.7 3.79630630416667 277.1178475 276.596047916667 96.42106375 168.3214107 101090.016 "winter" "Feb" 2
"11" 5.28583333333333 285.88375 283.92375 88.4708333333333 1.6 4.77219009583333 285.71798875 283.78408 88.3946145833333 20.4692187892 101589.27 "autumn" "Sep" 3
"12" 2.9425 289.217916666667 286.432083333333 84.1166666666667 0 2.92503627916667 289.20976875 286.194914583333 82.5967090416667 2.8946935854 101359.484 "summer" "Aug" 4
"13" 4.19833333333333 288.517916666667 284.781666666667 79.8791666666666 0 3.79234972083333 288.540831666667 284.55015875 78.236782 1.720271179 101935.81 "summer" "Aug" 4
"14" 3.985 276.509166666667 275.385 92.4583333333333 1.8 3.75207064583333 276.62499375 275.291758333333 91.058417375 7.3202410304 101356.42 "winter" "Jan" 3
"15" 1.85416666666667 281.239166666667 278.421666666667 82.8791666666667 0.2 1.45099355083333 280.59740125 278.6585375 87.9055001666667 4.9871636 102464.89 "autumn" "Nov" 3
"16" 3.73125 276.8775 273.937083333333 82.5666666666666 3.4 2.9169929 276.511494166667 274.33973375 86.623697625 79.0976559 101273.984 "winter" "Feb" 4
"17" 5.54833333333333 282.4825 282.023333333333 97.075 0.2 4.07001363333333 282.399745 282.1227725 98.1683860833333 1.71911727 102743.02 "autumn" "Dec" 3
"18" 5.73625 282.1275 280.872916666667 91.9708333333333 2.2 5.31114014583333 282.414156666667 280.76329 89.7365504583333 9.136702496 100990.68 "spring" "Mar" 4
"19" 3.98625 286.50875 283.185416666667 81.5208333333333 1.4 3.3324737875 286.59479 283.697592083333 83.5223547916667 42.99525289 101326.1 "summer" "Aug" 4
"20" 3.39625 288.849166666667 285.44625 81.9291666666666 0 2.74165573333333 288.239808333333 284.893547083333 82.0844609583333 1.1831868452 102023.41 "summer" "Aug" 4
"21" 4.15333333333333 278.1375 276.923333333333 92.3708333333333 11.9 3.520278425 277.97071625 276.085809166667 88.311749125 272.3563372 99222.27 "winter" "Feb" 3
"22" 3.8325 286.240416666667 283.717083333333 85.7583333333334 0.2 3.67666693333333 287.03517625 283.73329125 81.8924262083333 0.2392606985 101063.37 "spring" "May" 2
"23" 5.48 282.980833333333 280.962916666667 87.7791666666667 0 4.5353590125 283.210273333333 280.428360416667 83.510898625 4.720152325 101755.75 "spring" "May" 2
"24" 4.06958333333333 281.165416666667 275.8625 71.225 0 3.58329481666667 280.766971666667 277.448528333333 80.624998125 0.275655171 100618.09 "spring" "Apr" 3
